x,true_tau,scenario,dr_bias,dr_variance,dr_rmse,dr_mc_se,dr_analytical_se,dr_coverage,plugin_bias,plugin_variance,plugin_rmse,plugin_mc_se,plugin_analytical_se,plugin_coverage
0.0,0.0,both_correct,-0.002963559000576847,0.0428315793874062,0.2069791343815992,0.20695791694788146,0.2180247566026499,0.954,0.004643707800041432,0.02975088243648075,0.17254693987032316,0.1724844411431963,0.009097903662059767,0.086
0.1,0.5687852522924731,both_correct,-0.010263552238654161,0.043350802577595896,0.20846137071925694,0.20820855548607,0.21090523612881337,0.95,-0.010876407282472633,0.012041378972733913,0.11027091732686428,0.10973321727140745,0.005609797079311127,0.084
0.2,0.8790565162951536,both_correct,-0.000404876514006447,0.04242816376646574,0.20598137705010455,0.2059809791375547,0.20702447424073786,0.942,-0.009082666077001589,0.011856849839980303,0.10926730829963104,0.10888916309706996,0.005283461157720689,0.066
0.30000000000000004,0.7980565162951535,both_correct,-0.0026922515043444895,0.04140192654483919,0.20349244399486147,0.20347463366434448,0.2021458992379616,0.942,-0.002231923445111139,0.013680329602059924,0.11698423434089211,0.11696294114829672,0.0055597929269993965,0.084
0.4,0.3317852522924732,both_correct,-0.005777425927490143,0.03712436025314254,0.1927634272975301,0.19267682853198134,0.2026670102712762,0.972,0.0013394363216174265,0.011500570461832893,0.10724907715916515,0.10724071270666236,0.004950521275733992,0.074
0.5,-0.3749999999999999,both_correct,0.014268970824620308,0.0466203928887314,0.21638853115894396,0.21591756039917503,0.20057052610358664,0.928,0.0016678633786621488,0.010555698908053116,0.10275446791406687,0.10274093102582396,0.0046190142731338335,0.064
0.6000000000000001,-1.0917852522924734,both_correct,-0.02245854931103808,0.04490565237812723,0.21309631347182795,0.21190953819525735,0.20114280183581854,0.924,1.7707125189891926e-05,0.013654007483768457,0.11685036498578316,0.116850363644143,0.005438282063906345,0.064
0.7000000000000001,-1.5880565162951537,both_correct,0.005648675624562616,0.042643188364844,0.2065795147180754,0.2065022720573408,0.2033440929181737,0.946,-0.0012383360721273107,0.013509050990114445,0.11623503975283002,0.11622844312006612,0.005791611663277573,0.064
0.8,-1.7190565162951539,both_correct,0.012921069404651542,0.04471741902280179,0.211859323744228,0.2114649356815493,0.20578530863144948,0.954,-0.002917273411399357,0.011250343269272352,0.10610774596338013,0.10606763535250681,0.005381946616144845,0.07
0.9,-1.4787852522924734,both_correct,-0.020123966846848695,0.04266108847384154,0.2075236432686517,0.20654560870142347,0.21038923995933267,0.962,-0.012239294841477122,0.036410180263118576,0.1912066437165173,0.1908145179568855,0.009024434503820886,0.05
0.0,0.0,mu_wrong,0.007842960405293054,0.05395434255867974,0.2324131119076519,0.23228074082600936,0.24294493965127656,0.97,0.6986356813281815,0.031342140119572315,0.7207176668741129,0.17703711509051517,0.008998587945237795,0.0
0.1,0.5687852522924731,mu_wrong,-0.010640645086974931,0.043326193805896945,0.2084212492376051,0.20814945065000037,0.21107696185976169,0.952,0.01619489647209693,0.01439314194098998,0.12105955812215703,0.11997142135104502,0.005985346166565311,0.09
0.2,0.8790565162951536,mu_wrong,-0.0071856094582715135,0.04536935997971465,0.21312201426178726,0.21300084502112815,0.21447937551406715,0.936,-0.4524936504527932,0.009174846178435414,0.46252064805641924,0.09578541735794345,0.004569015043394323,0.0
0.30000000000000004,0.7980565162951535,mu_wrong,-0.0008742977044917666,0.045789343916362434,0.21398623393302316,0.2139844478375997,0.21321412346711607,0.944,-0.5757497860134864,0.009291874538758328,0.5837633858279686,0.09639436984989491,0.004370006282429416,0.0
0.4,0.3317852522924732,mu_wrong,-0.004884227790670381,0.0377630578347357,0.19438856323314616,0.194327192731063,0.20609317750834885,0.974,-0.36096003184040826,0.010464009070120944,0.37517483078739366,0.10229373915407014,0.004674283847431301,0.0
0.5,-0.3749999999999999,mu_wrong,0.014328378409134479,0.046561874398112484,0.21625720063375423,0.21578200665975947,0.20062607140947528,0.926,0.04796259716413975,0.010163284166414266,0.11164091943881425,0.10081311505163534,0.0047016133315302255,0.07
0.6000000000000001,-1.0917852522924734,mu_wrong,-0.02610352808022598,0.04599203085497926,0.21604033195960054,0.214457526925448,0.20458618088738684,0.924,0.41972313998141497,0.008660133335459948,0.42991586103715507,0.0930598373921852,0.00441845821469145,0.0
0.7000000000000001,-1.5880565162951537,mu_wrong,-0.0009744848917054849,0.04462877168298372,0.21125747632637262,0.21125522877075428,0.20823257658847702,0.944,0.5226021403447114,0.007951477857314633,0.5301551423406059,0.08917105952782345,0.004328558461852341,0.0
0.8,-1.7190565162951539,mu_wrong,0.010005199118756636,0.04483568691031172,0.21198063807743783,0.21174439050494756,0.2065689208893591,0.956,0.21225178991485838,0.012303011292634848,0.2394866042489559,0.11091894018892737,0.005346436621968213,0.004
0.9,-1.4787852522924734,mu_wrong,-0.00989804065090194,0.04497307769859344,0.21229943218793673,0.21206856838907892,0.21339366975486235,0.956,-0.5196948944233888,0.028012365282721816,0.5459809049522328,0.16736894957763765,0.008040922124953042,0.0
0.0,0.0,pi_wrong,0.003549634936206547,0.03938411566017065,0.1984860588765644,0.19845431630521582,0.2002749721371214,0.944,0.004643707800041432,0.02975088243648075,0.17254693987032316,0.1724844411431963,0.009097903662059767,0.086
0.1,0.5687852522924731,pi_wrong,-0.015381303016766656,0.03942866465564206,0.1991613645718859,0.19856652450914797,0.1997822804272104,0.956,-0.010876407282472633,0.012041378972733913,0.11027091732686428,0.10973321727140745,0.005609797079311127,0.084
0.2,0.8790565162951536,pi_wrong,0.00043246253730511164,0.03941131774094261,0.19852331038139773,0.19852283934334258,0.20046311534159247,0.942,-0.009082666077001589,0.011856849839980303,0.10926730829963104,0.10888916309706996,0.005283461157720689,0.066
0.30000000000000004,0.7980565162951535,pi_wrong,-0.0036868216977021806,0.04046145368045129,0.2011841105422641,0.20115032607592584,0.19895125373479267,0.944,-0.002231923445111139,0.013680329602059924,0.11698423434089211,0.11696294114829672,0.0055597929269993965,0.084
0.4,0.3317852522924732,pi_wrong,-0.005054443681043297,0.036950409902316066,0.1922913344465655,0.19222489407544505,0.20181277337901174,0.974,0.0013394363216174265,0.011500570461832893,0.10724907715916515,0.10724071270666236,0.004950521275733992,0.074
0.5,-0.3749999999999999,pi_wrong,0.014550979539787123,0.04700030153802579,0.21728330019491396,0.21679552933127055,0.20090200071793385,0.928,0.0016678633786621488,0.010555698908053116,0.10275446791406687,0.10274093102582396,0.0046190142731338335,0.064
0.6000000000000001,-1.0917852522924734,pi_wrong,-0.022066336437413403,0.04511095401620113,0.21353659456863652,0.2123933944740305,0.2013226186940161,0.928,1.7707125189891926e-05,0.013654007483768457,0.11685036498578316,0.116850363644143,0.005438282063906345,0.064
0.7000000000000001,-1.5880565162951537,pi_wrong,0.0052082140790372655,0.041732397976473885,0.20435147043847512,0.20428508995145458,0.20281325541508666,0.944,-0.0012383360721273107,0.013509050990114445,0.11623503975283002,0.11622844312006612,0.005791611663277573,0.064
0.8,-1.7190565162951539,pi_wrong,0.012365355645438392,0.04362046178776675,0.20922084936259322,0.2088551215263029,0.20283038986625465,0.952,-0.002917273411399357,0.011250343269272352,0.10610774596338013,0.10606763535250681,0.005381946616144845,0.07
0.9,-1.4787852522924734,pi_wrong,-0.01972527091059484,0.04108005849838054,0.20363974270971003,0.20268216127321254,0.20331170586627031,0.956,-0.012239294841477122,0.036410180263118576,0.1912066437165173,0.1908145179568855,0.009024434503820886,0.05
0.0,0.0,both_wrong,0.25693039925806876,0.04693236918457676,0.33607380029911194,0.21663879889017285,0.21153385960172086,0.742,0.6986356813281815,0.031342140119572315,0.7207176668741129,0.17703711509051517,0.008998587945237795,0.0
0.1,0.5687852522924731,both_wrong,-0.007029575369803309,0.03983459581440015,0.19970981634431467,0.19958606117261835,0.1998673371784391,0.954,0.01619489647209693,0.01439314194098998,0.12105955812215703,0.11997142135104502,0.005985346166565311,0.09
0.2,0.8790565162951536,both_wrong,-0.09492782679479994,0.04167009404497596,0.22512526811746275,0.20413254038730808,0.20531442702027422,0.922,-0.4524936504527932,0.009174846178435414,0.46252064805641924,0.09578541735794345,0.004569015043394323,0.0
0.30000000000000004,0.7980565162951535,both_wrong,-0.07344240664052182,0.04318806486797905,0.2204129124192383,0.207817383459563,0.20757544451211363,0.928,-0.5757497860134864,0.009291874538758328,0.5837633858279686,0.09639436984989491,0.004370006282429416,0.0
0.4,0.3317852522924732,both_wrong,-0.01998499453969904,0.0373404763302623,0.19426753804229388,0.19323683999243596,0.20495217120744735,0.974,-0.36096003184040826,0.010464009070120944,0.37517483078739366,0.10229373915407014,0.004674283847431301,0.0
0.5,-0.3749999999999999,both_wrong,0.012792817354450925,0.046807361093669425,0.21672797989538353,0.2163500891926542,0.20096264403892827,0.928,0.04796259716413975,0.010163284166414266,0.11164091943881425,0.10081311505163534,0.0047016133315302255,0.07
0.6000000000000001,-1.0917852522924734,both_wrong,-0.07643159663317012,0.046176635821760695,0.2280754804569231,0.21488749573151225,0.20575521662180996,0.924,0.41972313998141497,0.008660133335459948,0.42991586103715507,0.0930598373921852,0.00441845821469145,0.0
0.7000000000000001,-1.5880565162951537,both_wrong,-0.10753129778986303,0.044168548487907355,0.23607526022918954,0.21016314731157637,0.20982375967540434,0.922,0.5226021403447114,0.007951477857314633,0.5301551423406059,0.08917105952782345,0.004328558461852341,0.0
0.8,-1.7190565162951539,both_wrong,-0.05123810455570443,0.04382808106069785,0.21553056493026493,0.20935157286416037,0.20405302246751827,0.948,0.21225178991485838,0.012303011292634848,0.2394866042489559,0.11091894018892737,0.005346436621968213,0.004
0.9,-1.4787852522924734,both_wrong,0.17211834758098887,0.04357179964683703,0.27054856351651013,0.2087385916567347,0.20929887848040857,0.864,-0.5196948944233888,0.028012365282721816,0.5459809049522328,0.16736894957763765,0.008040922124953042,0.0
